维度V,模型名称,MAE,RMSE
0,C1,188.0342,258.2493
0,C2,186.2511,255.3179
0,C3,194.0322,262.8402
0,C4,215.2347,289.9757
0,C5,196.5007,266.5456
1,C1,45.6945,79.0104
1,C2,46.8866,79.8992
1,C3,50.7865,80.839
1,C4,43.288,80.5499
1,C5,48.8109,81.0256
2,C1,101.7028,132.2586
2,C2,101.7567,131.7581
2,C3,102.0276,130.8599
2,C4,99.2542,123.947
2,C5,101.9698,130.0848
