维度V,模型名称,MAE,RMSE
0,C1,255.8839,356.1051
0,C2,256.9244,360.1268
0,C3,274.4817,374.0308
0,C4,347.2335,460.0594
0,C5,773.7882,1015.9692
1,C1,28.6632,51.1147
1,C2,29.3024,51.2407
1,C3,29.4652,51.5605
1,C4,28.931,54.4403
1,C5,708.3354,813.4466
2,C1,454.0808,598.0001
2,C2,457.4216,601.6443
2,C3,469.256,600.213
2,C4,449.4879,569.9763
2,C5,860.3506,993.1041
